NCTI322C.PV_Timestamp FASE U;NCTI322C.PV_Value FASE U;NCTI322C.PV_Confidence FASE U;NCTI322D.PV_Timestamp FASE V;NCTI322D.PV_Value FASE V;NCTI322D.PV_Confidence FASE V;NCTI322E.PV_Timestamp FASE W;NCTI322E.PV_Value FASE W;NCTI322E.PV_Confidence FASE W
15/07/2020 13:05;34.92;100;15/07/2020 13:05;34.43;100;15/07/2020 13:05;34.24;100
15/07/2020 13:06;34.92;100;15/07/2020 13:07;34.31;100;16/07/2020 21:58;37.12;100
16/07/2020 22:34;37.85;100;16/07/2020 21:33;37.18;100;17/07/2020 00:16;36.98;100
17/07/2020 00:16;37.55;100;17/07/2020 00:16;37.02;100;17/07/2020 00:18;37.12;100
17/07/2020 00:27;37.73;100;17/07/2020 00:25;37.12;100;18/07/2020 11:25;34.92;100
18/07/2020 11:25;35.59;100;18/07/2020 11:22;34.98;100;18/07/2020 11:27;35.06;100
18/07/2020 11:27;35.68;100;18/07/2020 11:27;35.16;100;18/07/2020 11:29;35.1;100
18/07/2020 11:43;35.83;100;18/07/2020 11:28;35.22;100;19/07/2020 11:38;33.76;100
19/07/2020 13:04;34.43;100;19/07/2020 12:43;33.88;100;19/07/2020 22:38;34.3;100
19/07/2020 22:38;34.92;100;19/07/2020 22:38;34.35;100;19/07/2020 22:42;34.19;100
19/07/2020 22:40;34.8;100;19/07/2020 22:45;34.19;100;20/07/2020 23:46;38.09;100
20/07/2020 23:07;38.76;100;20/07/2020 23:55;38.15;100;21/07/2020 09:49;36.17;100
21/07/2020 09:49;36.99;100;21/07/2020 09:49;36.43;100;21/07/2020 09:52;36.32;100
21/07/2020 09:55;37.12;100;21/07/2020 09:50;36.51;100;22/07/2020 09:59;33.33;100
22/07/2020 12:24;34;100;22/07/2020 08:24;33.45;100;22/07/2020 21:00;33.7;100
22/07/2020 21:00;34.28;100;22/07/2020 21:00;33.73;100;23/07/2020 09:44;33.33;100
22/07/2020 22:59;34;100;22/07/2020 23:29;33.39;100;24/07/2020 05:28;36.08;100
24/07/2020 05:27;36.75;100;24/07/2020 05:40;36.14;100;24/07/2020 08:11;35.71;100
24/07/2020 08:11;36.41;100;24/07/2020 08:11;35.7;100;24/07/2020 11:04;35.22;100
24/07/2020 10:15;35.96;100;24/07/2020 10:58;35.35;100;25/07/2020 02:31;36.75;100
25/07/2020 03:41;37.42;100;25/07/2020 04:38;36.87;100;25/07/2020 19:22;36.2;100
25/07/2020 19:22;36.91;100;25/07/2020 19:22;36.22;100;26/07/2020 11:08;35.59;100
26/07/2020 12:01;36.32;100;26/07/2020 11:21;35.77;100;27/07/2020 02:59;91.26;100
27/07/2020 03:00;91.75;100;27/07/2020 02:57;91.51;100;27/07/2020 06:33;87.61;100
27/07/2020 06:33;87.86;100;27/07/2020 06:33;87.74;100;27/07/2020 13:53;93.89;100
27/07/2020 14:05;93.95;100;27/07/2020 14:04;93.7;100;28/07/2020 17:37;39.8;100
28/07/2020 17:43;40.72;100;28/07/2020 17:42;39.92;100;28/07/2020 17:44;39.91;100
28/07/2020 17:44;40.79;100;28/07/2020 17:44;39.99;100;28/07/2020 17:47;39.92;100
28/07/2020 17:45;40.84;100;28/07/2020 17:45;40.05;100;30/07/2020 03:00;34.43;100
30/07/2020 03:26;35.04;100;30/07/2020 03:34;34.43;100;30/07/2020 04:55;34.5;100
30/07/2020 04:55;35.11;100;30/07/2020 04:55;34.49;100;30/07/2020 13:36;34.86;100
30/07/2020 14:21;35.59;100;30/07/2020 14:58;34.98;100;31/07/2020 08:10;33.64;100
31/07/2020 08:27;34.37;100;31/07/2020 09:34;33.51;100;31/07/2020 16:05;33.82;100
31/07/2020 16:05;34.55;100;31/07/2020 16:05;33.88;100;31/07/2020 16:18;33.76;100
31/07/2020 17:43;34.37;100;31/07/2020 16:07;33.76;100;02/08/2020 02:35;36.51;100
02/08/2020 03:16;37.18;100;02/08/2020 02:40;36.57;100;02/08/2020 03:16;36.45;100
02/08/2020 03:16;37.07;100;02/08/2020 03:16;36.39;100;02/08/2020 03:38;36.57;100
02/08/2020 04:10;37.24;100;02/08/2020 04:46;36.69;100;03/08/2020 11:50;33.33;100
03/08/2020 12:45;34.12;100;03/08/2020 11:46;33.45;100;03/08/2020 14:27;33.87;100
03/08/2020 14:27;34.5;100;03/08/2020 14:27;33.92;100;03/08/2020 14:37;33.76;100
03/08/2020 14:28;34.49;100;03/08/2020 14:30;33.82;100;04/08/2020 02:11;90.77;100
04/08/2020 02:24;90.96;100;04/08/2020 02:11;90.65;100;05/08/2020 01:38;87.34;100
05/08/2020 01:38;87.64;100;05/08/2020 01:38;87.36;100;05/08/2020 03:31;85.46;100
05/08/2020 03:22;85.77;100;05/08/2020 03:40;85.59;100;05/08/2020 14:32;92.91;100
05/08/2020 14:31;92.67;100;05/08/2020 14:35;92.61;100;06/08/2020 12:49;92.33;100
06/08/2020 12:49;92.44;100;06/08/2020 12:49;92.12;100;07/08/2020 06:55;86.32;100
07/08/2020 06:58;86.32;100;07/08/2020 07:03;86.2;100;07/08/2020 16:24;94.07;100
07/08/2020 16:17;94.07;100;07/08/2020 16:17;93.83;100;08/08/2020 00:00;91.52;100
08/08/2020 00:00;91.87;100;08/08/2020 00:00;91.75;100;08/08/2020 13:03;96.51;100
08/08/2020 13:07;96.57;100;08/08/2020 13:02;96.21;100;09/08/2020 08:28;90.59;100
09/08/2020 08:21;90.96;100;09/08/2020 08:30;90.59;100;09/08/2020 11:11;93.37;100
09/08/2020 11:11;93.37;100;09/08/2020 11:11;92.88;100;09/08/2020 18:09;97;100
09/08/2020 18:06;97.06;100;09/08/2020 18:10;96.82;100;10/08/2020 22:21;49.63;100
10/08/2020 22:21;52.5;100;10/08/2020 22:17;50.24;100;10/08/2020 22:22;49.68;100
10/08/2020 22:22;52.74;100;10/08/2020 22:22;50.25;100;10/08/2020 22:23;49.75;100
12/08/2020 09:16;34.12;100;12/08/2020 09:30;33.27;100;12/08/2020 09:23;33.33;100
12/08/2020 09:33;34.14;100;12/08/2020 09:33;33.27;100;12/08/2020 09:33;33.41;100
12/08/2020 09:37;34.31;100;12/08/2020 10:02;33.57;100;12/08/2020 09:34;33.45;100
13/08/2020 20:25;32.11;100;13/08/2020 20:40;31.5;100;13/08/2020 10:40;31.5;100
13/08/2020 20:44;32.19;100;13/08/2020 20:44;31.62;100;13/08/2020 20:44;31.59;100
13/08/2020 21:28;32.05;100;13/08/2020 21:24;31.44;100;13/08/2020 20:55;31.44;100
15/08/2020 02:50;33.09;100;15/08/2020 01:46;32.48;100;14/08/2020 18:05;32.42;100
15/08/2020 07:55;32.54;100;15/08/2020 07:55;31.93;100;15/08/2020 07:55;31.88;100
15/08/2020 15:43;32.84;100;15/08/2020 16:17;32.23;100;15/08/2020 16:15;32.23;100
16/08/2020 11:39;31.87;100;16/08/2020 11:50;31.13;100;16/08/2020 10:28;31.13;100
16/08/2020 19:06;32;100;16/08/2020 19:06;31.44;100;16/08/2020 19:06;31.43;100
17/08/2020 21:12;31.5;100;17/08/2020 11:11;30.89;100;17/08/2020 10:25;30.83;100
18/08/2020 04:39;32.6;100;18/08/2020 04:23;32.05;100;18/08/2020 04:01;31.93;100
18/08/2020 06:16;32.3;100;18/08/2020 06:16;31.86;100;18/08/2020 06:16;31.62;100
18/08/2020 10:12;32.11;100;18/08/2020 10:52;31.38;100;18/08/2020 09:47;31.38;100
19/08/2020 17:06;34.92;100;19/08/2020 17:11;34.31;100;19/08/2020 17:27;34.31;100
19/08/2020 17:27;34.75;100;19/08/2020 17:27;34.24;100;19/08/2020 17:27;34.2;100
19/08/2020 17:47;34.98;100;19/08/2020 17:41;34.37;100;19/08/2020 17:41;34.37;100
21/08/2020 00:20;32.17;100;20/08/2020 23:38;31.38;100;21/08/2020 00:26;31.44;100
21/08/2020 04:38;32.71;100;21/08/2020 04:38;31.92;100;21/08/2020 04:38;31.94;100
21/08/2020 20:51;32.05;100;21/08/2020 20:24;31.32;100;21/08/2020 20:53;31.44;100
22/08/2020 15:40;34.61;100;22/08/2020 15:22;33.94;100;22/08/2020 15:27;33.94;100
22/08/2020 15:49;34.55;100;22/08/2020 15:49;33.84;100;22/08/2020 15:49;33.9;100
23/08/2020 12:03;33.88;100;23/08/2020 11:10;33.15;100;23/08/2020 11:16;33.09;100
24/08/2020 02:29;35.59;100;24/08/2020 02:55;35.04;100;24/08/2020 02:07;34.98;100
24/08/2020 03:00;35.49;100;24/08/2020 03:00;34.88;100;24/08/2020 03:00;34.9;100
24/08/2020 03:32;35.71;100;24/08/2020 03:19;35.04;100;24/08/2020 04:01;35.04;100
25/08/2020 10:31;33.03;100;25/08/2020 09:12;32.42;100;25/08/2020 09:24;32.42;100
25/08/2020 14:11;33.67;100;25/08/2020 14:11;33.09;100;25/08/2020 14:11;33.09;100
25/08/2020 14:14;33.57;100;25/08/2020 14:17;32.96;100;25/08/2020 14:21;33.03;100
26/08/2020 22:39;35.59;100;26/08/2020 22:29;34.98;100;26/08/2020 21:50;34.92;100
27/08/2020 01:22;35.25;100;27/08/2020 01:22;34.68;100;27/08/2020 01:22;34.76;100
27/08/2020 11:36;34.92;100;27/08/2020 18:42;35.71;100;27/08/2020 18:09;35.71;100
27/08/2020 19:16;36.32;100;28/08/2020 11:01;34.19;100;28/08/2020 11:49;34.12;100
28/08/2020 12:33;34.95;100;28/08/2020 12:33;34.32;100;28/08/2020 12:33;34.21;100
29/08/2020 01:52;36.2;100;28/08/2020 23:42;35.53;100;29/08/2020 00:26;35.53;100
29/08/2020 13:47;33.21;100;29/08/2020 12:51;32.48;100;29/08/2020 13:47;32.42;100
29/08/2020 23:44;34.65;100;29/08/2020 23:44;34.09;100;29/08/2020 23:44;33.94;100
30/08/2020 00:31;34.86;100;30/08/2020 00:45;34.25;100;30/08/2020 00:04;34.06;100
30/08/2020 12:00;32.42;100;30/08/2020 11:21;31.74;100;30/08/2020 11:40;31.56;100
31/08/2020 10:55;33.1;100;31/08/2020 10:55;32.42;100;31/08/2020 10:55;32.34;100
31/08/2020 20:46;34.12;100;31/08/2020 20:25;33.51;100;31/08/2020 20:04;33.51;100
01/09/2020 21:49;32.54;100;01/09/2020 21:29;31.8;100;01/09/2020 10:38;31.8;100
01/09/2020 22:06;32.67;100;01/09/2020 22:06;31.83;100;01/09/2020 22:06;31.94;100
01/09/2020 22:07;32.72;100;01/09/2020 22:10;32.11;100;01/09/2020 22:10;32.05;100
02/09/2020 11:27;30.83;100;02/09/2020 12:33;30.16;100;02/09/2020 12:32;29.97;100
03/09/2020 09:17;32.11;100;03/09/2020 09:17;31.56;100;03/09/2020 09:17;31.32;100
03/09/2020 09:18;32.05;100;03/09/2020 09:28;31.38;100;03/09/2020 09:27;31.26;100
04/09/2020 19:15;36.02;100;04/09/2020 20:11;35.47;100;04/09/2020 18:42;35.35;100
04/09/2020 20:27;35.84;100;04/09/2020 20:27;35.47;100;04/09/2020 20:27;35.16;100
04/09/2020 20:42;36.02;100;04/09/2020 20:28;35.47;100;04/09/2020 21:53;35.35;100
06/09/2020 07:21;33.57;100;06/09/2020 07:31;32.96;100;06/09/2020 07:03;32.9;100
06/09/2020 07:38;33.66;100;06/09/2020 07:38;33.15;100;06/09/2020 07:38;32.9;100
06/09/2020 09:50;33.21;100;06/09/2020 10:18;32.54;100;06/09/2020 09:51;32.48;100
06/09/2020 18:15;34.31;100;06/09/2020 19:23;33.76;100;06/09/2020 18:53;33.7;100
07/09/2020 18:49;33.57;100;07/09/2020 18:49;33.05;100;07/09/2020 18:49;32.98;100
07/09/2020 23:09;33.21;100;07/09/2020 23:02;32.6;100;08/09/2020 08:00;32.6;100
08/09/2020 19:51;34.55;100;08/09/2020 19:19;33.94;100;08/09/2020 21:27;34;100
09/09/2020 06:00;34.09;100;09/09/2020 06:00;33.45;100;09/09/2020 06:00;33.22;100
09/09/2020 11:00;33.03;100;09/09/2020 10:25;32.48;100;09/09/2020 10:34;32.29;100
09/09/2020 20:44;34.61;100;09/09/2020 20:08;34;100;09/09/2020 20:18;34;100
10/09/2020 17:11;34.02;100;10/09/2020 17:11;33.35;100;10/09/2020 17:11;33.41;100
10/09/2020 17:28;33.88;100;11/09/2020 09:54;33.21;100;10/09/2020 17:15;33.27;100
12/09/2020 03:36;34.8;100;12/09/2020 04:11;34.25;100;12/09/2020 04:15;34.19;100
12/09/2020 04:22;34.71;100;12/09/2020 04:22;34.12;100;12/09/2020 04:22;34.1;100
12/09/2020 11:05;33.82;100;12/09/2020 12:28;33.27;100;12/09/2020 10:42;33.15;100
13/09/2020 04:38;35.04;100;13/09/2020 04:14;34.43;100;13/09/2020 05:18;34.37;100
13/09/2020 15:33;34.71;100;13/09/2020 15:33;34.03;100;13/09/2020 15:33;34.06;100
